CONM,TIC,CIK,SIC
COSTAMARE INC,CMRE,0001503584,4412
KARYOPHARM THERAPEUTICS INC,KPTI,0001503802,2834
BIOPHARMX CORP,BPMX,0001504167,2834
UPLAND SOFTWARE INC,UPLD,0001505155,7370
REGULUS THERAPEUTICS INC,RGLS,0001505512,2836
KINDER MORGAN INC,KMI,0001506307,4923
SHARPSPRING INC,SHSP,0001506439,7370
CHF SOLUTIONS INC,CHFS,0001506492,3845
AVINGER INC,AVGR,0001506928,3841
FLOOR & DECOR HLDGS,FND,0001507079,5211
MARATHON PATENT GROUP INC,MARA,0001507605,7374
IDEAL POWER INC,IPWR,0001507957,3620
ARATANA THERAPEUTICS,PETX,0001509190,2836
BONANZA CREEK ENERGY INC,BCEI,0001509589,1311
KOSMOS ENERGY LTD,KOS,0001509991,1311
MARATHON PETROLEUM CORP,MPC,0001510295,2911
PRINCIPIA BIOPHARMA,PRNB,0001510487,2836
UBIQUITI INC,UI,0001511737,3663
GLOBAL EAGLE ENTERTAINMENT,ENT,0001512077,4899
LINDBLAD EXPEDITIONS HLDGS,LIND,0001512499,4700
SQUARE INC,SQ,0001512673,7374
COHERUS BIOSCIENCES INC,CHRS,0001512762,2836
NORWEGIAN CRUISE LINE HLDGS,NCLH,0001513761,4400
ARAVIVE INC,ARAV,0001513818,2836
BANDWIDTH INC,BAND,0001514416,7370
SUNCOKE ENERGY INC,SXC,0001514705,3312
SAEXPLORATION HOLDINGS INC,SAEX,0001514732,1382
AMC NETWORKS INC,AMCX,0001514991,4833
ADVANCED EMISSIONS SOLUTIONS,ADES,0001515156,3559
ULTRAGENYX PHARMACEUTICAL,RARE,0001515673,2836
INSYS THERAPEUTICS INC,INSYQ,0001516479,2834
MOXIAN INC,MOXC,0001516805,7370
AKEBIA THERAPEUTICS INC,AKBA,0001517022,2836
PINGTAN MARINE ENTERPRISE,PME,0001517130,2090
COMMSCOPE HOLDING CO INC,COMM,0001517228,3663
PEAK RESORTS INC,SKIS,0001517401,7990
TRINSEO SA,TSE,0001519061,2821
FORTUNE BRANDS HOME & SECUR,FBHS,0001519751,2430
ALKERMES PLC,ALKS,0001520262,2834
ACADIA HEALTHCARE CO INC,ACHC,0001520697,8060
LANTHEUS HOLDINGS INC,LNTH,0001521036,2835
APTIV PLC,APTV,0001521332,3714
MARRIOTT VACATIONS WORLDWIDE,VAC,0001524358,7011
XYLEM INC,XYL,0001524472,3561
U S SILICA HOLDINGS INC,SLCA,0001524741,1400
CHUY'S HOLDINGS INC,CHUY,0001524931,5812
ERA GROUP INC,ERA,0001525221,4522
INTELSAT SA,I,0001525773,4899
VERASTEM INC,VSTM,0001526119,2836
TRIPADVISOR INC,TRIP,0001526520,7370
SYNLOGIC INC,SYBX,0001527599,2834
GUIDEWIRE SOFTWARE INC,GWRE,0001528396,7372
CORINDUS VASCULAR ROBOTICS,CVRS,0001528557,3845
SANCHEZ ENERGY CORP,SNECQ,0001528837,1311
RH,RH,0001528849,5712
INPIXON,INPX,0001529113,5045
FTS INTERNATIONAL INC,FTSI,0001529463,1389
SMART SAND INC,SND,0001529628,1400
TRONOX HOLDINGS PLC,TROX,0001530804,2810
POST HOLDINGS INC,POST,0001530950,2015
NINE ENERGY SERVICE INC,NINE,0001532286,1389
NV5 GLOBAL INC,NVEE,0001532961,8711
PHIO PHARMACEUTICALS CORP,PHIO,0001533040,2836
GLOBAL BRASS & COPPER HLDGS,BRSS,0001533526,3350
WORLDPAY INC,WP,0001533932,7374
DARIOHEALTH CORP,DRIO,0001533998,2835
CERECOR INC,CERC,0001534120,2834
PBF ENERGY INC,PBF,0001534504,2911
XENETIC BIOSCIENCES PLC,XBIO,0001534525,2836
TECNOGLASS INC,TGLS,0001534675,3442
PHILLIPS 66,PSX,0001534701,2911
EASTSIDE DISTILLING INC,EAST,0001534708,2085
FIESTA RESTAURANT GROUP INC,FRGI,0001534992,5812
CLOUDERA INC,CLDR,0001535379,7370
LIPOCINE INC,LPCN,0001535955,2834
INDEPENDENCE CONTRACT DRLLNG,ICD,0001537028,1381
GOGO INC,GOGO,0001537054,4899
TECOGEN INC,TGEN,0001537435,3621
SRAX INC,SRAX,0001538217,7311
CLEARSIDE BIOMEDICAL INC,CLSD,0001539029,2834
URBAN TEA INC,MYT,0001543268,5140
OVASCIENCE INC,OVAS,0001544227,
PROFESSIONAL DIVERSITY NETWK,IPDN,0001546296,7370
BLOOMIN' BRANDS INC,BLMN,0001546417,5812
NATURAL GROCERS VITAMIN CTGE,NGVC,0001547459,5400
SEARS HOMETOWN & OUTLET STR,SHOS,0001548309,5700
EKSO BIONICS HOLDINGS INC,EKSO,0001549084,3845
SHUTTERSTOCK INC,SSTK,0001549346,7370
HI-CRUSH INC,HCR,0001549848,1400
ABBVIE INC,ABBV,0001551152,2836
EATON CORP PLC,ETN,0001551182,3620
SIENTRA INC,SIEN,0001551693,3842
TRANSUNION,TRU,0001552033,7323
MYOKARDIA INC,MYOK,0001552451,2836
SEMLER SCIENTIFIC INC,SMLR,0001554859,3845
ZOETIS INC,ZTS,0001555280,2834
SYROS PHARMACEUTICALS INC,SYRS,0001556263,2836
KADMON HOLDINGS INC,KDMN,0001557142,2836
ACLARIS THERAPEUTICS INC,ACRS,0001557746,2834
DERMIRA INC,DERM,0001557883,2836
ARCIMOTO INC,FUV,0001558583,3711
PROTHENA CORP PLC,PRTA,0001559053,2836
EVERTEC INC,EVTC,0001559865,7374
RAPID7 INC,RPD,0001560327,7372
PATTERN ENERGY GROUP INC,PEGI,0001561660,4991
TRI POINTE GROUP INC,TPH,0001561680,1531
KINDRED BIOSCIENCES INC,KIN,0001561743,2836
TAYLOR MORRISON HOME CORP,TMHC,0001562476,1531
SMART & FINAL STORES INC,SFS,0001563407,5411
ADOMANI INC,ADOM,0001563568,3714
SNAP INC,SNAP,0001564408,7370
NEWS CORP,NWSA,0001564708,2711
SEAWORLD ENTERTAINMENT INC,SEAS,0001564902,7996
VISLINK TECHNOLOGIES INC,VISL,0001565228,4899
MENLO THERAPEUTICS INC,MNLO,0001566044,2834
MENLO THERAPEUTICS INC -OLD,MNLO.1,0001566044,
SPRING BANK PHARMACEUTICALS,SBPH,0001566373,2836
NANTHEALTH INC,NH,0001566469,7373
NXT-ID INC,NXTD,0001566826,7373
HEMISPHERE MEDIA GROUP INC,HMTV,0001567345,4833
INTRA-CELLULAR THERAPIES INC,ITCI,0001567514,2836
MALLINCKRODT PLC,MNK,0001567892,2834
YOUNGEVITY INTERNATIONAL INC,YGYI,0001569329,2834
EVOLUS INC,EOLS,0001570562,2834
LIBERTY GLOBAL PLC,LBTYK,0001570585,4841
SCIENCE APPLICATIONS INTL CP,SAIC,0001571123,7373
EPIZYME INC,EPZM,0001571498,2836
JONES ENERGY INC,JONEQ,0001573166,1311
MURPHY USA INC,MUSA,0001573516,5500
PULMATRIX INC,PULM,0001574235,2836
NEW HOME CO INC,NWHM,0001574596,1531
BIOTELEMETRY INC,BEAT,0001574774,8090
BMC STOCK HOLDINGS INC,BMCH,0001574815,5211
MATCH GROUP INC,MTCH,0001575189,7370
GUE LIQ COS INC,FTDCQ,0001575360,5961
SPROUTS FARMERS MARKET,SFM,0001575515,5411
ENERGOUS CORP,WATT,0001575793,3690
FRANK'S INTL NV,FI,0001575828,1389
BENEFITFOCUS INC,BNFT,0001576169,7370
MIRATI THERAPEUTICS INC,MRTX,0001576263,2836
GUARDANT HEALTH INC,GH,0001576280,2835
CENTURY COMMUNITIES INC,CCS,0001576940,1531
STITCH FIX INC,SFIX,0001576942,5961
ARDMORE SHIPPING CORP,ASC,0001577437,4412
PREMIER INC,PINC,0001577916,5122
ALLERGAN PLC,AGN,0001578845,2834
EMERALD HOLDING INC,EEX,0001579214,7389
ALLEGION PLC,ALLE,0001579241,3420
JASON INDUSTRIES INC,JASN,0001579252,3530
GANNETT CO INC,GCI,0001579684,2711
NEW AGE BEVERAGES CORP,NBEV,0001579823,2086
RESONANT INC,RESN,0001579910,3674
HOUGHTON MIFFLIN HARCOURT CO,HMHC,0001580156,2731
LGI HOMES INC,LGIH,0001580670,1531
A10 NETWORKS INC,ATEN,0001580808,3576
INSTALLED BLDG PRODUCTS INC,IBP,0001580905,1700
XENON PHARMACEUTICALS INC,XENE,0001582313,2836
MATINAS BIOPHARMA HLDGS INC,MTNB,0001582554,2834
MTBC INC,MTBC,0001582982,7370
THERAVANCE BIOPHARMA INC,TBPH,0001583107,2836
PIERIS PHARMACEUTICALS INC,PIRS,0001583648,2836
ARAMARK,ARMK,0001584509,5812
AKOUSTIS TECHNOLOGIES INC,AKTS,0001584754,3679
EP ENERGY CORP,EPEGQ,0001584952,1311
PERRIGO CO PLC,PRGO,0001585364,2834
DEL TACO RESTAURANTS INC,TACO,0001585583,5812
JAGUAR HEALTH INC,JAGX,0001585608,2834
HILTON WORLDWIDE HOLDINGS,HLT,0001585689,7011
ADVANCED DISPOSAL SERVICES,ADSW,0001585790,4953
OXFORD IMMUNOTEC GLOBAL PLC,OXFD,0001586049,2835
ZYLA LIFE SCIENCES,ZCOR,0001586105,2834
KNOWLES CORP,KN,0001587523,3670
ONE GAS INC,OGS,0001587732,4924
RECRO PHARMA INC,REPH,0001588972,2834
BLUE BIRD CORP,BLBD,0001589526,3713
FORTRESS TRANS INFRASTR INVS,FTAI,0001590364,7359
UNIQURE NV,QURE,0001590560,2836
MIRAGEN THERAPEUTICS INC,MGEN,0001590750,2836
REGENXBIO INC,RGNX,0001590877,2836
ELDORADO RESORTS INC,ERI,0001590895,7990
PAYCOM SOFTWARE INC,PAYC,0001590955,7370
MALIBU BOATS INC,MBUU,0001590976,3730
PRESBIA PLC,LENSF,0001591096,3841
A-MARK PRECIOUS METALS INC,AMRK,0001591588,5051
PAYLOCITY HOLDING CORP,PCTY,0001591698,7370
SPHERE 3D CORP,ANY,0001591956,7372
ENLINK MIDSTREAM LLC,ENLC,0001592000,4922
AGROFRESH SOLUTIONS INC,AGFS,0001592016,2870
PARTY CITY HOLDCO INC,PRTY,0001592058,2670
PAPA MURPHY'S HOLDINGS INC,FRSH,0001592379,5812
CONTINENTAL BUILDING PRODS,CBPX,0001592480,3270
ENDO INTERNATIONAL PLC,ENDP,0001593034,2834
TRIBUNE PUBLISHING CO,TPCO,0001593195,2711
MICHAELS COS INC,MIK,0001593936,5945
GRUBHUB INC,GRUB,0001594109,7370
PARSLEY ENERGY INC,PE,0001594466,1311
SHOPIFY INC,SHOP,0001594805,7370
CORBUS PHARMACEUTICALS HLDGS,CRBP,0001595097,2836
RUBICON PROJECT INC,RUBI,0001595974,7370
ARISTA NETWORKS INC,ANET,0001596532,3576
CATALENT INC,CTLT,0001596783,2834
QUOTIENT LTD,QTNT,0001596946,2835
DORIAN LPG LTD,LPG,0001596993,4412
SABRE CORP,SABR,0001597033,7370
BLUEPRINT MEDICINES CORP,BPMC,0001597264,2836
VIEWRAY INC,VRAY,0001597313,3845
SAGE THERAPEUTICS INC,SAGE,0001597553,2836
IHS MARKIT LTD,INFO,0001598014,7370
TIMKENSTEEL CORP,TMST,0001598428,3312
VERITIV CORP,VRTV,0001599489,5110
NOW INC,DNOW,0001599617,5084
TERRAFORM POWER INC,TERP,0001599947,4911
E.L.F. BEAUTY INC,ELF,0001600033,2844
SUPERIOR DRILLING PRODUCTS,SDPI,0001600422,3533
MONTAGE RESOURCES CORP,MR,0001600470,1311
KEYSIGHT TECHNOLOGIES INC,KEYS,0001601046,3825
VECTRUS INC,VEC,0001601548,8744
AXONICS MODULATION TECH INC,AXNX,0001603756,3845
WEATHERFORD INTL PLC,WFTLF,0001603923,1381
ADVANCED DRAINAGE SYSTEMS,WMS,0001604028,3080
EVOQUA WATER TECH,AQUA,0001604643,3580
QORVO INC,QRVO,0001604778,3674
NATERA INC,NTRA,0001604821,8071
AAC HOLDINGS INC,AACH,0001606180,8060
EL POLLO LOCO HOLDINGS INC,LOCO,0001606366,5812
AVANOS MEDICAL INC,AVNS,0001606498,3842
LIBERTY TRIPADVISOR HOLDINGS,LTRPA,0001606745,7370
KIMBALL ELECTRONICS INC,KE,0001606757,3674
PANGAEA LOGISTICS SOLUTIONS,PANL,0001606909,4412
VIVINT SOLAR INC,VSLR,0001607716,3620
REWALK ROBOTICS LTD,RWLK,0001607962,3842
ZAYO GROUP HOLDINGS INC,ZAYO,0001608249,4899
CALIFORNIA RESOURCES CORP,CRC,0001609253,1311
SPARK THERAPEUTICS INC,ONCE,0001609351,2836
INSPIRE MEDICAL SYSTEM,INSP,0001609550,3845
CDK GLOBAL INC,CDK,0001609702,7370
GODADDY INC,GDDY,0001609711,7370
SERES THERAPEUTICS INC,MCRB,0001609809,2836
DIPLOMAT PHARMACY INC,DPLO,0001610092,5912
BOOT BARN HOLDINGS INC,BOOT,0001610250,5661
CIDARA THERAPEUTICS INC,CDTX,0001610618,2836
HELIUS MEDICAL TECHNOLOGIES,HSDT,0001610853,3845
SYNEOS HEALTH INC,SYNH,0001610950,8731
FRESHPET INC,FRPT,0001611647,2040
LIBERTY BROADBAND CORP,LBRDK,0001611983,7372
MEDTRONIC PLC,MDT,0001613103,3845
PRA HEALTH SCIENCES INC,PRAH,0001613859,8731
YEXT INC,YEXT,0001614178,7370
INSPIRED ENTERTAINMENT,INSE,0001615063,7812
VERITONE INC,VERI,0001615165,7370
FLEX PHARMA INC,FLKS,0001615219,
C&J ENERGY SERVICES INC,CJ,0001615817,1389
ROCKY MOUNTAIN CHOC FACT INC,RMCF,0001616262,2060
VISTA OUTDOOR INC,VSTO,0001616318,3480
SMART GLOBAL HOLDINGS INC,SGH,0001616533,3674
SENSEONICS HLDGS INC,SENS,0001616543,3845
WAYFAIR INC,W,0001616707,5961
PATRIOT TRANSPORTATION HLDG,PATI,0001616741,4213
AXALTA COATING SYSTEMS LTD,AXTA,0001616862,2851
J. ALEXANDER'S HOLDINGS INC,JAX,0001617227,5812
ZILLOW GROUP INC,Z,0001617640,7370
UNIQUE FABRICATING INC,UFAB,0001617669,3714
KLX INC,KLXI,0001617898,5080
HABIT RESTAURANTS INC (THE),HABT,0001617977,5812
NUTANIX INC,NTNX,0001618732,7370
RESTAURANT BRANDS INTL INC,QSR,0001618756,5812
WALGREENS BOOTS ALLIANCE INC,WBA,0001618921,5912
VALERITAS HOLDINGS INC,VLRXQ,0001619250,3841
INOVALON HOLDINGS INC,INOV,0001619954,7370
EXELA TECHNOLOGIES INC,XELA,0001620179,7374
SHAKE SHACK INC,SHAK,0001620533,5812
SUMMIT MATERIALS INC,SUM,0001621563,1400
AQUA METALS INC,AQMS,0001621832,4953
POLAR POWER INC,POLA,0001622345,3621
MYLAN NV,MYL,0001623613,2834
ANTERO MIDSTREAM CORP,AM,0001623925,4922
BOXLIGHT CORP,BOXL,0001624512,3861
ALPINE IMMUNE SCIENCES INC,ALPN,0001626199,2836
BLACK KNIGHT INC,BKI,0001627014,7374
CHEMOURS CO,CC,0001627223,2860
UPWORK INC,UPWK,0001627475,7370
DAVIDSTEA INC,DTEA,0001627606,5400
SAILPOINT TECHNO HLDG,SAIL,0001627857,7372
EVOLENT HEALTH INC,EVH,0001628908,7372
PARAMOUNT GOLD NEVADA CORP,PZG,0001629210,1040
BABCOCK & WILCOX ENTERPRISES,BW,0001630805,3510
WAVE LIFE SCIENCES LTD,WVE,0001631574,2836
PRESIDIO INC,PSDO,0001631825,7370
CABLE ONE INC,CABO,0001632127,4841
ENERGIZER HOLDINGS INC,ENR,0001632790,3690
TALLGRASS ENERGY GROUP LP,TGE,0001633651,4922
PAYPAL HOLDINGS INC,PYPL,0001633917,7374
TOPBUILD CORP,BLD,0001633931,1700
LUMENTUM HOLDINGS INC,LITE,0001633978,3576
BARNES & NOBLE EDUCATION INC,BNED,0001634117,5940
RIMINI STREET INC,RMNI,0001635282,7370
GANNETT CO INC -OLD,GCI.1,0001635718,2711
EXTERRAN CORP,EXTN,0001635881,3533
WINGSTOP INC,WING,0001636222,5812
MADISON SQUARE GARDEN CO,MSG,0001636519,7900
KRAFT HEINZ CO,KHC,0001637459,2030
HORIZON GLOBAL CORP,HZN,0001637655,3714
SEASPINE HOLDINGS CORP,SPNE,0001637761,3842
MILACRON HOLDINGS CORP,MCRN,0001637913,3559
FULING GLOBAL INC,FORK,0001637921,3089
MASTERCRAFT BOAT HLDNGS IN,MCFT,0001638290,3730
SURGERY PARTNERS INC,SGRY,0001638833,8090
OLLIE'S BARGAIN OUTLET HLDGS,OLLI,0001639300,5331
LIVANOVA PLC,LIVN,0001639691,3845
PYXIS TANKERS INC,PXS,0001640043,4412
VOYAGER THERAPEUTICS INC,VYGR,0001640266,2836
JOUNCE THERAPEUTICS INC,JNCE,0001640455,2836
VTV THERAPEUTICS INC,VTVT,0001641489,2836
CPI CARD GROUP INC,PMTS,0001641614,3674
SPX FLOW INC,FLOW,0001641991,3561
PURPLE INNOVATION INC,PRPL,0001643953,2510
RMR GROUP INC,RMR,0001644378,8741
HOSTESS BRANDS INC,TWNK,0001644406,2050
GCP APPLIED TECHNOLOGIES INC,GCP,0001644440,2860
MIMECAST LTD,MIME,0001644675,7370
NOVOCURE LTD,NVCR,0001645113,3845
CUE BIOPHARMA,CUE,0001645460,2836
ARRIS INTERNATIONAL PLC,ARRS,0001645494,3663
HEWLETT PACKARD ENTERPRISE,HPE,0001645590,3571
AT HOME GROUP INC,HOME,0001646228,5700
NUVECTRA CORP,NVTRQ,0001648893,3845
DULUTH HOLDINGS INC,DLTH,0001649744,5961
OUTLOOK THERAPEUTICS INC,OTLK,0001649989,2836
QUORUM HEALTH CORP,QHC,0001650445,8062
EDITAS MEDICINE INC,EDIT,0001650664,2836
SITEONE LANDSCAPE SUPPLY INC,SITE,0001650729,5080
WELBILT INC,WBT,0001650962,3580
ACACIA COMMUNICATIONS INC,ACIA,0001651235,3663
CHECKPOINT THERAPEUTICS INC,CKPT,0001651407,2836
TABULA RASA HEALTHCARE INC,TRHC,0001651561,7370
ALPHABET INC,GOOGL,0001652044,7370
INTELLIA THERAPEUTICS INC,NTLA,0001652130,2836
ICHOR HOLDINGS LTD,ICHR,0001652535,3559
RED ROCK RESORTS INC,RRR,0001653653,7011
DECIPHERA PHRMCTAL INC,DCPH,0001654151,2836
EXTRACTION OIL & GAS INC,XOG,0001655020,1311
ARMSTRONG FLOORING INC,AFI,0001655075,3089
ARVINAS INC,ARVN,0001655759,2836
HERTZ GLOBAL HOLDINGS INC,HTZ,0001657853,7510
CENTENNIAL RES DVLPMNT INC,CDEV,0001658566,1311
ROSEHILL RESOURCES INC,ROSE,0001659122,1311
FORTIVE CORP,FTV,0001659166,3829
OKTA INC,OKTA,0001660134,7370
TENABLE HOLDINGS INC,TENB,0001660280,7370
VERSUM MATERIALS INC,VSM,0001660690,2860
TRITON INTERNATIONAL LTD,TRTN,0001660734,7359
ORGANOGENESIS HOLDINGS INC,ORGO,0001661181,2836
LONESTAR RESOURCES US INC,LONE,0001661920,1311
AKCEA THERAPEUTICS INC,AKCA,0001662524,2836
BLOOM ENERGY CORP,BE,0001664703,3621
CARDLYTICS INC,CDLX,0001666071,7370
BLACKLINE INC,BL,0001666134,7370
ATKORE INTL GROUP INC,ATKR,0001666138,3640
DUPONT DE NEMOURS INC,DD,0001666700,2860
ZEDGE INC,ZDGE,0001667313,7372
FORTY SEVEN INC,FTSV,0001667633,2836
UROGEN PHARMA LTD,URGN,0001668243,2836
MEDPACE HOLDINGS INC,MEDP,0001668397,8731
PETIQ INC,PETQ,0001668673,2834
LIBERTY EXPEDIA HOLDINGS INC,LEXEA,0001669600,4700
CAMPING WORLD HOLDINGS INC,CWH,0001669779,5500
DONNELLEY FINANCIAL SOLTNS,DFIN,0001669811,7370
LSC COMMUNICATIONS INC,LKSD,0001669812,2750
ADIENT PLC,ADNT,0001670541,2531
YETI HOLDINGS INC,YETI,0001670592,3949
CARDTRONICS PLC,CATM,0001671013,7389
APTEVO THERAPEUTICS INC,APVO,0001671584,2836
TRADE DESK INC,TTD,0001671933,7370
ACUSHNET HOLDINGS CORP,GOLF,0001672013,3949
YUMA ENERGY INC,YUMA,0001672326,1311
CANTERBURY PARK HOLDING CORP,CPHC,0001672909,7990
YUM CHINA HOLDINGS INC,YUMC,0001673358,5812
ADVANSIX INC,ASIX,0001673985,2820
ALLIANCE MMA INC,AMMA,0001674227,
JELD-WEN HOLDING INC,JELD,0001674335,2430
APTINYX INC,APTX,0001674365,2836
CRISPR THERAPEUTICS AG,CRSP,0001674416,2836
VALVOLINE INC,VVV,0001674910,2990
FULGENT GENETICS INC,FLGT,0001674930,8071
TIVO CORP,TIVO,0001675820,7370
CONDUENT INC,CNDT,0001677703,7374
FORTERRA INC,FRTA,0001678463,3272
INTERNATIONAL SEAWAYS INC,INSW,0001679049,4412
CHICKEN SOUP FOR SOUL ENTNT,CSSE,0001679063,7812
MAMMOTH ENERGY SERVICES INC,TUSK,0001679268,1389
LAMB WESTON HOLDINGS INC,LW,0001679273,2030
ACM RESEARCH INC,ACMR,0001680062,3559
PROPETRO HOLDING CORP,PUMP,0001680247,1389
SENESTECH INC,SNES,0001680378,2870
TECHNIPFMC PLC,FTI,0001681459,1389
VAREX IMAGING CORP,VREX,0001681622,3844
ENDRA LIFE SCIENCES INC,NDRA,0001681682,3845
WILDHORSE RES DVLPT,WRD,0001681714,1311
VERRA MOBILITY CORP,VRRM,0001682745,7374
MODERNA INC,MRNA,0001682852,2836
CARS.COM INC,CARS,0001683606,7370
DOVA PHARMACEUTICAL INC,DOVA,0001685071,2834
JAGGED PEAK ENERGY INC,JAG,0001685715,1311
RAMACO RESOURCES INC,METC,0001687187,1220
REV GROUP INC,REVG,0001687221,3713
J JILL INC,JILL,0001687932,5621
NEXTIER OILFIELD SOLUTNS INC,NEX,0001688476,1389
DXC TECHNOLOGY CO,DXC,0001688568,7370
ESTABLISHMNT LBS HLDNG,ESTA,0001688757,3842
FOUNDATION BLDG MRL INC,FBM,0001688941,5031
ALTERYX INC,AYX,0001689923,7370
SEACOR MARINE HLDGS INC,SMHI,0001690334,4412
XPERI CORP,XPER,0001690666,3674
ALTA MESA RESOURCES INC,AMRQQ,0001690769,1311
CARVANA CO,CVNA,0001690820,5961
ASV HOLDINGS INC,ASV,0001690881,3531
WARRIOR MET COAL INC,HCC,0001691303,1220
SOUTHWEST GAS HOLDINGS INC,SWX,0001692115,4923
PLAYA HOTELS & RESORTS N.V,PLYA,0001692412,7011
CO-DIAGNOSTIC INC,CODX,0001692415,2835
NCS MULTISTAGE HLDG INC,NCSM,0001692427,3533
ALTUS MIDSTREAM COMPANY,ALTM,0001692787,4922
SELECT ENERGY SERVICES INC,WTTR,0001693256,1389
LIBERTY OILFIELD SVS,LBRT,0001694028,1389
DELEK US HOLDINGS INC,DK,0001694426,2911
ROYALE ENERGY INC,ROYL,0001694617,1311
SOLARIS OILFIELD IF INC,SOI,0001697500,7359
MAGNOLIA OIL & GAS CORP,MGY,0001698990,1311
RANGER ENERGY SERVICES,RNGR,0001699039,1389
CACTUS INC,WHD,0001699136,3533
INGERSOLL RAND INC,IR,0001699150,3560
CISION LTD,CISN,0001701040,7370
WIDEOPENWEST INC,WOW,0001701051,4813
SPERO THERAPEUTICS INC,SPRO,0001701108,2836
BLUE APRON HOLDNG INC,APRN,0001701114,5961
FARMMI INC,FAMI,0001701261,0100
BAKER HUGHES CO,BKR,0001701605,1389
ALTAIR ENGINEERING INC,ALTR,0001701732,7372
SIMPLY GOOD FOODS COMPANY,SMPL,0001702744,2060
ALTICE USA INC,ATUS,0001702780,4841
WRAP TECHNOLOGIES,WRTC,0001702924,3690
ADT INC,ADT,0001703056,7381
FALCON MINERALS CORP,FLMN,0001703785,1311
QUINTANA ENERGY SVC INC,QES,0001704235,1389
EVO PAYMENTS INC,EVOP,0001704596,7374
FUNKO INC,FNKO,0001704711,3942
CONTURA ENERGY INC,CTRA,0001704715,1220
CANNAE HOLDINGS INC,CNNE,0001704720,5812
FAT BRANDS INC,FAT,0001705012,5812
ANGI HOMESERVICES INC,ANGI,0001705110,7370
VENATOR MATERIALS PLC,VNTR,0001705682,2810
CALYXT INC,CLXT,0001705843,2836
DELPHI TECHNOLOGIES PLC,DLPH,0001707092,3714
LINDE PLC,LIN,0001707925,2810
PQ GROUP HOLDINGS INC,PQG,0001708035,2810
RIBBON COMMUNICATIONS INC,RBBN,0001708055,7373
NATIONAL VISION HLDGS INC,EYE,0001710155,5990
ETON PHARMACEUTICALS,ETON,0001710340,2836
CONSOL ENERGY INC,CEIX,0001710366,1220
SWITCH INC,SWCH,0001710583,7370
EVERGY INC,EVRG,0001711269,4931
LIBERTY LATIN AMERICA LTD,LILAK,0001712184,4841
ZSCALER INC,ZS,0001713683,7370
DENALI THERAPEUTCS INC,DNLI,0001714899,2836
RA MEDICAL SYSTEMS INC,RMED,0001716621,3845
SURFACE ONCOLOGY INC,SURF,0001718108,2836
GATES INDUSTRIAL CORP PLC,GTES,0001718512,3560
RED VIOLET INC - SPN,RDVT,0001720116,7370
LAZYDAYS HOLDINGS INC,LAZY,0001721741,5500
WYNDHAM HOTELS & RESRTS,WH,0001722684,7011
APERGY CORP,APY,0001723089,3533
AMNEAL PHARMACEUTICALS INC,AMRX,0001723128,2834
SELECT INTERIOR CONCEPTS INC,SIC,0001723866,7389
ENTASIS THRPTCS HLDNG,ETTX,0001724344,2836
ARCUS BIOSCIENCES INC,RCUS,0001724521,2836
TALOS ENERGY INC,TALO,0001724965,1311
CERIDIAN HCM HOLDING,CDAY,0001725057,7370
PLURALSIGHT INC,PS,0001725579,7370
BIGLARI HOLDINGS INC,BH,0001726173,5812
FRONTDOOR INC,FTDR,0001727263,1520
BROADCOM INC,AVGO,0001730168,3674
KINIKSA PHRMCETCLS LTD,KNSA,0001730430,2836
TILRAY INC,TLRY,0001731348,2834
EURODRY LTD,EDRY,0001731388,4412
EIDOS THERAPEUTICS INC,EIDX,0001731831,2836
WESTROCK CO,WRK,0001732845,2650
NORTHWEST NATURAL HLDNG CO,NWN,0001733998,4924
MEIRAGTX HOLDINGS,MGTX,0001735438,2836
GARRETT MOTION INC,GTX,0001735707,3714
LEGACY RESERVES INC,LGCYQ,0001735828,1311
ARLO TECHNOLOGIES INC,ARLO,0001736946,3669
ELANCO ANIMAL HLTH INC,ELAN,0001739104,2834
ARCOSA INC,ACA,0001739445,3440
SVMK INC,SVMK,0001739936,7370
SOLARWINDS CORP,SWI,0001739942,7372
RESIDEO TECHNOLOGIES,REZI,0001740332,5065
LIVENT CORP,LTHM,0001742924,2810
DISNEY (WALT) CO,DIS,0001744489,4888
EQUITRANS MID CORP,ETRN,0001747009,4922
STERIS PLC,STE,0001757898,3841
RTI SURGICAL HOLDINGS INC,RTIX,0001760173,3842
XEROX HOLDINGS CORP,XRX,0001770450,3577
US ECOLOGY INC,ECOL,0001783400,4955
GRAPHIC PACKAGING HOLDING CO,GPK,1408075,
MASONITE INTERNATIONAL CORP,DOOR,893691,
MEDOVEX CORP,MDVX, 0001591165,
