CONM,TIC,CIK
PLUS THERAPEUTICS INC,PSTV,1095981
TRI POINTE GROUP INC,TPH,1561680
JANUS HENDERSON GROUP PLC,JHG,1274173
WELLCARE HEALTH PLANS INC,WCG,1279363
BLACKBAUD INC,BLKB,1280058
TRITON INTERNATIONAL LTD,TRTN,1660734
ALNYLAM PHARMACEUTICALS INC,ALNY,1178670
NUVASIVE INC,NUVA,1142596
GREENHILL & CO INC,GHL,1282977
CARDTRONICS PLC,CATM,1671013
MOMENTA PHARMACEUTICALS INC,MNTA,1235010
ULTRA CLEAN HOLDINGS INC,UCTT,1275014
INFOSONICS CORP -OLD,IFON.1,1274032
CITIZENS COMMUNITY BANCORP,CZWI,1367859
COHEN & STEERS INC,CNS,1284812
CHF SOLUTIONS INC,CHFS,1506492
TOUCHPOINT GROUP HOLDINGS,TGHI,225211
UNIQURE NV,QURE,1590560
FUTUREFUEL CORP,FF,1337298
LYONDELLBASELL INDUSTRIES NV,LYB,1489393
MY SIZE INC,MYSZ,1211805
ALLEGION PLC,ALLE,1579241
ATHENE HOLDING LTD,ATH,1527469
ARCOSA INC,ACA,1739445
AAR CORP,AIR,1750
AVX CORP,AVX,859163
AIR PRODUCTS & CHEMICALS INC,APD,2969
AIR T INC,AIRT,353184
ALICO INC,ALCO,3545
SKYWORKS SOLUTIONS INC,SWKS,4127
AMERCO,UHAL,4457
ABM INDUSTRIES INC,ABM,771497
AMERICAN SHARED HSPTL SERV,AMS,744825
AMERICAN SOFTWARE  -CL A,AMSWA,713425
AMREP CORP,AXR,6207
ANALOG DEVICES,ADI,6281
APOGEE ENTERPRISES INC,APOG,6845
APPLE INC,AAPL,320193
APPLIED MATERIALS INC,AMAT,6951
ENERPAC TOOL GROUP CORP,EPAC,6955
ASTRONOVA INC,ALOT,8146
REX AMERICAN RESOURCES CORP,REX,744187
AUTODESK INC,ADSK,769397
AUTOMATIC DATA PROCESSING,ADP,8670
AVNET INC,AVT,8858
AZZ INC,AZZ,8947
BASSETT FURNITURE INDS,BSET,10329
APPLIED INDUSTRIAL TECH INC,AIT,109563
BECTON DICKINSON & CO,BDX,10795
BEST BUY CO INC,BBY,764478
BLOCK H & R INC,HRB,12659
BOWL AMERICA INC  -CL A,BWL.A,13573
BRADY CORP,BRC,746598
BRIDGFORD FOODS CORP,BRID,14177
BRIGGS & STRATTON,BGG,14195
BROWN FORMAN CORP,BF.B,14693
CALERES INC,CAL,14707
LIVERAMP HOLDINGS INC,RAMP,733269
CSS INDUSTRIES INC,CSS,20629
CSP INC,CSPI,356037
CABOT CORP,CBT,16040
CACI INTL INC  -CL A,CACI,16058
CALAMP CORP,CAMP,730255
CAMPBELL SOUP CO,CPB,16732
CONSTELLATION BRANDS,STZ,16918
CARDINAL HEALTH INC,CAH,721371
CARPENTER TECHNOLOGY CORP,CRS,17843
CASEYS GENERAL STORES INC,CASY,726958
CATO CORP  -CL A,CATO,18255
CAVCO INDUSTRIES INC,CVCO,278166
R F INDUSTRIES LTD,RFIL,740664
CANTEL MEDICAL CORP,CMD,19446
BRINKER INTL INC,EAT,703351
CINTAS CORP,CTAS,723254
CLOROX CO/DE,CLX,21076
COHERENT INC,COHR,21510
CHASE CORP,CCF,830524
COMMERCIAL METALS,CMC,22444
DXC TECHNOLOGY CO,DXC,1688568
COMTECH TELECOMMUN,CMTL,23197
CONAGRA BRANDS INC,CAG,23217
RAVE RESTAURANT GROUP INC,RAVE,718332
COOPER COS INC (THE),COO,711404
CRACKER BARREL OLD CTRY STOR,CBRL,1067294
CROWN CRAFTS INC,CRWS,25895
CUBIC CORP,CUB,26076
CULP INC,CULP,723603
TARGET CORP,TGT,27419
DEERE & CO,DE,315189
ADTALEM GLOBAL EDUCATION INC,ATGE,730464
PYXUS INTERNATIONAL INC,PYX,939930
DILLARDS INC  -CL A,DDS,28917
DISNEY (WALT) CO,DIS,1744489
DOLLAR GENERAL CORP,DG,29534
DONALDSON CO INC,DCI,29644
ASCENA RETAIL GROUP INC,ASNA,1498301
DYCOM INDUSTRIES INC,DY,67215
DYNATRONICS CORP,DYNT,720875
DYNASIL CORP OF AMERICA,DYSL,30831
EDUCATIONAL DEVELOPMENT CORP,EDUC,31667
EMERSON ELECTRIC CO,EMR,32604
EMERSON RADIO CORP,MSN,32621
ATMOS ENERGY CORP,ATO,731802
ENNIS INC,EBF,33002
ENZO BIOCHEM INC,ENZ,316253
ESPEY MFG & ELECTRONICS CORP,ESP,33533
INSTEEL INDUSTRIES,IIIN,764401
FARMER BROTHERS CO,FARM,34563
FEDEX CORP,FDX,1048911
MACY'S INC,M,794367
FLEXSTEEL INDUSTRIES INC,FLXS,37472
FONAR CORP,FONR,355019
FRANKLIN RESOURCES INC,BEN,38777
FREQUENCY ELECTRONICS INC,FEIM,39020
FRIEDMAN INDUSTRIES INC,FRD,39092
GAP INC,GPS,39911
GEE GROUP INC,JOB,40570
GENERAL MILLS INC,GIS,40704
GENESCO INC,GCO,18498
GIGA-TRONICS INC,GIGA,719274
GRAHAM CORP,GHM,716314
GREIF INC  -CL A,GEF,43920
L3HARRIS TECHNOLOGIES INC,LHX,202058
HAWKINS INC,HWKN,46250
HEICO CORP,HEI,46619
HELEN OF TROY LTD,HELE,916789
HELMERICH & PAYNE,HP,46765
HP INC,HPQ,47217
HILL-ROM HOLDINGS INC,HRC,47518
HOME DEPOT INC,HD,354950
HORMEL FOODS CORP,HRL,48465
HOVNANIAN ENTRPRS INC  -CL A,HOV,357294
HURCO COS INC,HURC,315374
IEC ELECTRONICS CORP,IEC,49728
IMMUNOMEDICS INC,IMMU,722830
GRIFFON CORP,GFF,50725
NAVISTAR INTERNATIONAL CORP,NAV,808450
ENBRIDGE INC,ENB,895728
JACOBS ENGINEERING GROUP INC,J,52988
JOHNSON CONTROLS INTL PLC,JCI,833444
KENNAMETAL INC,KMT,55242
KEWAUNEE SCIENTIFIC CORP,KEQU,55529
KEY TRONIC CORP,KTCC,719733
KIMBALL INTERNATIONAL  -CL B,KBAL,55772
KOSS CORP,KOSS,56701
KROGER CO,KR,56873
KULICKE & SOFFA INDUSTRIES,KLIC,56978
LSI INDUSTRIES INC,LYTS,763532
LA-Z-BOY INC,LZB,57131
SPIRE INC,SR,1126956
LAM RESEARCH CORP,LRCX,707549
LANCASTER COLONY CORP,LANC,57515
LEE ENTERPRISES INC,LEE,58361
LEGG MASON INC,LM,704051
LENNAR CORP,LEN,920760
L BRANDS INC,LB,701985
LOWE'S COS INC,LOW,60667
LUBYS INC,LUB,16099
MTS SYSTEMS CORP,MTSC,68709
MAUI LAND & PINEAPPLE CO,MLP,63330
MCCORMICK & CO INC,MKC,63754
MCDERMOTT INTL INC,MDRIQ,708819
MCKESSON CORP,MCK,927653
GENCOR INDUSTRIES INC,GENC,64472
MEDTRONIC PLC,MDT,1613103
MEREDITH CORP,MDP,65011
MESA LABORATORIES INC,MLAB,724004
METHODE ELECTRONICS INC,MEI,65270
EVI INDUSTRIES INC,EVI,65312
MEXCO ENERGY CORP,MXC,66418
MICHAELS COS INC,MIK,1593936
MICRON TECHNOLOGY INC,MU,723125
MODINE MANUFACTURING CO,MOD,67347
INTERGROUP CORP,INTG,69422
BIOMERICA INC,BMRA,73290
NAPCO SECURITY TECH INC,NSSC,69633
NATHAN'S FAMOUS INC,NATH,69733
NATIONAL FUEL GAS CO,NFG,70145
NEW JERSEY RESOURCES CORP,NJR,356309
NIKE INC  -CL B,NKE,320187
NOBILITY HOMES INC,NOBH,72205
NORDSON CORP,NDSN,72331
NORDSTROM INC,JWN,72333
MOVADO GROUP INC,MOV,72573
ITERIS INC,ITI,350868
BRISTOW GROUP INC,BRSWQ,73887
OIL DRI CORP AMERICA,ODC,74046
PARK AEROSPACE CORP,PKE,76267
PARKER-HANNIFIN CORP,PH,76334
PAYCHEX INC,PAYX,723531
PENNEY (J C) CO,JCP,1166126
PIER 1 IMPORTS INC/DE,PIRRQ,278130
SENECA FOODS CORP,SENEA,88948
AGILYSYS INC,AGYS,78749
PLANTRONICS INC,PLT,914025
PROFESSIONAL DIVERSITY NETWK,IPDN,1546296
POWELL INDUSTRIES INC,POWL,80420
PROCTER & GAMBLE CO,PG,80424
ARGAN INC,AGX,100591
NEXTGEN HEALTHCARE INC,NXGN,708818
AMTECH SYSTEMS INC,ASYS,720500
QUANTUM CORP,QMCO,709283
RAYMOND JAMES FINANCIAL CORP,RJF,720005
RPM INTERNATIONAL INC,RPM,110621
RAVEN INDUSTRIES INC,RAVN,82166
REGIS CORP/MN,RGS,716643
RICHARDSON ELECTRONICS LTD,RELL,355948
RITE AID CORP,RAD,84129
RGC RESOURCES INC,RGCO,1069533
ROCKWELL AUTOMATION,ROK,1024478
ROSS STORES INC,ROST,745732
ROYAL GOLD INC,RGLD,85535
SCHOLASTIC CORP,SCHL,866729
DIGITAL TURBINE INC,APPS,317788
SEMTECH CORP,SMTC,88941
SIFCO INDUSTRIES,SIF,90168
SKYLINE CORP,SKY.1,90896
SMUCKER (JM) CO,SJM,91419
STANDEX INTERNATIONAL CORP,SXI,310354
STARRETT (L.S.) CO  -CL A,SCX,93676
TSR INC,TSRI,98338
TAYLOR DEVICES INC,TAYD,96536
TECHNICAL COMMUNICATIONS CP,TCCO,96699
SUNLINK HEALTH SYSTEMS INC,SSY,96793
THOR INDUSTRIES INC,THO,730263
TORO CO,TTC,737758
TRANSCAT INC,TRNS,99302
TRIO-TECH INTERNATIONAL,TRT,732026
VOLITIONRX LTD,VNRX,93314
TWIN DISC INC,TWIN,100378
TYSON FOODS INC  -CL A,TSN,100493
UGI CORP,UGI,884614
UNIFI INC,UFI,100726
SPRINT CORP,S,101830
UNIVERSAL CORP/VA,UVV,102037
UNIVERSAL SECURITY INSTRUMNT,UUU,102109
VF CORP,VFC,103379
VALUE LINE INC,VALU,717720
VARIAN MEDICAL SYSTEMS INC,VAR,203527
VICON INDUSTRIES INC,VCON,310056
VIDEO DISPLAY CORP,VIDE,758743
VILLAGE SUPER MARKET  -CL A,VLGEA,103595
VIRCO MFG. CORP,VIRC,751365
VOLT INFO SCIENCES INC,VOLT,103872
WD-40 CO,WDFC,105132
WALMART INC,WMT,104169
WALGREENS BOOTS ALLIANCE INC,WBA,1618921
WESTERN DIGITAL CORP,WDC,106040
WILEY (JOHN) & SONS  -CL A,JW.A,107140
WILLIAMS-SONOMA INC,WSM,719955
WINNEBAGO INDUSTRIES,WGO,107687
WOODWARD INC,WWD,108312
FOOT LOCKER INC,FL,850209
WORTHINGTON INDUSTRIES,WOR,108516
SPECTRUM BRND HLDG INC,SPB,109177
TJX COS INC (THE),TJX,109198
OSHKOSH CORP,OSK,775158
HENRY (JACK) & ASSOCIATES,JKHY,779152
ARK RESTAURANTS CORP,ARKR,779544
NATURAL GROCERS VITAMIN CTGE,NGVC,1547459
CCA INDUSTRIES INC,CAWW,721447
TUESDAY MORNING CORP,TUES,878726
ROCKY MOUNTAIN CHOC FACT INC,RMCF,1616262
RBB BANCORP,RBB,1499422
BIG LOTS INC,BIG,768835
ORACLE CORP,ORCL,1341439
COTY INC,COTY,1024305
TECH DATA CORP,TECD,790703
DLH HOLDINGS CORP,DLHC,785557
AMERICAN WOODMARK CORP,AMWD,794619
TOLL BROTHERS INC,TOL,794170
FREDS INC,FREDQ,724571
U S GLOBAL INVESTORS INC,GROW,754811
TRANS WORLD ENTMT CORP,TWMC,795212
MERIDIAN BIOSCIENCE INC,VIVO,794172
PRO-DEX INC/CO,PDEX,788920
CLEARFIELD INC,CLFD,796505
ADOBE INC,ADBE,796343
CYANOTECH CORP,CYAN,768408
LAKELAND INDUSTRIES INC,LAKE,798081
KB HOME,KBH,795266
ANIXA BIOSCIENCES INC,ANIX,715446
ISORAY INC,ISR,728387
J & J SNACK FOODS CORP,JJSF,785956
PLEXUS CORP,PLXS,785786
INGLES MARKETS INC  -CL A,IMKTA,50493
SEARS HOMETOWN & OUTLET STR,SHOS,1548309
JACK IN THE BOX INC,JACK,807882
ECOLOGY AND ENVIRONMENT INC,EEI,809933
PHOTRONICS INC,PLAB,810136
SANDERSON FARMS INC,SAFM,812128
VOXX INTERNATIONAL CORP,VOXX,807707
DESTINATION XL GROUP INC,DXLG,813298
CARNIVAL CORPORATION & PLC,CCL,815097
AMERICA'S CAR-MART INC,CRMT,799850
ABIOMED INC,ABMD,815094
TIFFANY & CO,TIF,98246
NATIONAL HOLDINGS CORP,NHLD,1023844
ARC GROUP WORLDWIDE INC,ARCW,826326
NATURAL ALTERNATIVES,NAII,787253
MULTI-COLOR CORP,LABL,819220
FAIR ISAAC CORP,FICO,814547
JOHNSON OUTDOORS INC  -CL A,JOUT,788329
MITEK SYSTEMS INC,MITK,807863
MAXIM INTEGRATED PRODUCTS,MXIM,743316
II-VI INC,IIVI,820318
AVID BIOSERVICES INC,CDMO,704562
LINDSAY CORP,LNN,836157
CHAMPIONS ONCOLOGY INC,CSBR,771856
EMMIS COMMUNICATIONS CP-CL A,EMMS,783005
BIO-TECHNE CORP,TECH,842023
AMBARELLA INC,AMBA,1280263
SIGNET JEWELERS LTD,SIG,832988
NORTONLIFELOCK INC,NLOK,849399
SPORTSMANS WAREHOUSE HLDGS,SPWH,1132105
ENANTA PHARMACEUTICALS INC,ENTA,1177648
CIRRUS LOGIC INC,CRUS,772406
NEOGEN CORP,NEOG,711377
DIGI INTERNATIONAL INC,DGII,854775
ELECTRONIC ARTS INC,EA,712515
WASHINGTON FEDERAL INC,WAFD,936528
DARIOHEALTH CORP,DRIO,1533998
MODEL N INC,MODN,1118417
NEWS CORP,NWSA,1564708
TD HOLDINGS INC,GLG,1556266
OAKTREE STRATEGIC INCOME CP,OCSI,1577791
PREMIER INC,PINC,1577916
SCIENCE APPLICATIONS INTL CP,SAIC,1571123
VEEVA SYSTEMS INC,VEEV,1393052
PTC INC,PTC,857005
CONTAINER STORE GROUP,TCS,1411688
MOXIAN INC,MOXC,1516805
DEL TACO RESTAURANTS INC,TACO,1585583
A-MARK PRECIOUS METALS INC,AMRK,1591588
SEMLER SCIENTIFIC INC,SMLR,1554859
NORTHERN TECH INTL,NTIC,875582
MALIBU BOATS INC,MBUU,1590976
G-III APPAREL GROUP LTD,GIII,821002
PERMA-PIPE INTERNATIONAL HOL,PPIH,914122
LANDS' END INC,LE,799288
BIOPHARMX CORP,BPMX,1504167
PAYLOCITY HOLDING CORP,PCTY,1591698
RIMINI STREET INC,RMNI,1635282
APPLIED GENETIC TECHNOLOGIES,AGTC,1273636
BOX INC,BOX,1372612
PHIBRO ANIMAL HEALTH CORP,PAHC,1069899
ADVANCED DRAINAGE SYSTEMS,WMS,1604028
QUOTIENT LTD,QTNT,1596946
SUPERIOR DRILLING PRODUCTS,SDPI,1600422
CATALENT INC,CTLT,1596783
KEYSIGHT TECHNOLOGIES INC,KEYS,1601046
KIMBALL ELECTRONICS INC,KE,1606757
CISCO SYSTEMS INC,CSCO,858877
PFENEX INC,PFNX,1478121
HEALTHEQUITY INC,HQY,1428336
HOLOGIC INC,HOLX,859737
ANTERIX INC,ATEX,1304492
AKOUSTIS TECHNOLOGIES INC,AKTS,1584754
CHINA GREEN AGRICULTURE INC,CGA,857949
ZAYO GROUP HOLDINGS INC,ZAYO,1608249
GREAT WESTERN BANCORP INC,GWB,1613665
NVE CORP,NVEC,724910
CDK GLOBAL INC,CDK,1609702
VICTORY CPTL HLDGS INC,VCTR,1570827
BOOT BARN HOLDINGS INC,BOOT,1610250
UNIQUE FABRICATING INC,UFAB,1617669
NEW RELIC INC,NEWR,1448056
XILINX INC,XLNX,743988
GENASYS INC,GNSS,924383
GOOD TIMES RESTAURANTS INC,GTIM,825324
PIERIS PHARMACEUTICALS INC,PIRS,1583648
LANNETT CO INC,LCI,57725
VISTA OUTDOOR INC,VSTO,1616318
PATRIOT TRANSPORTATION HLDG,PATI,1616741
TEL-INSTRUMENT ELECTRONICS,TIKK,96885
VERU INC,VERU,863894
ENERGIZER HOLDINGS INC,ENR,1632790
BLUE BIRD CORP,BLBD,1589526
MATRIX SERVICE CO,MTRX,866273
BARNES & NOBLE EDUCATION INC,BNED,1634117
ESCO TECHNOLOGIES INC,ESE,866706
LUMENTUM HOLDINGS INC,LITE,1633978
ETHAN ALLEN INTERIORS INC,ETH,896156
SHINECO INC,TYHT,1300734
CERIDIAN HCM HOLDING,CDAY,1725057
DAVIDSTEA INC,DTEA,1627606
HAYNES INTERNATIONAL INC,HAYN,858655
AUTOZONE INC,AZO,866787
HAEMONETICS CORP,HAE,313143
OLLIE'S BARGAIN OUTLET HLDGS,OLLI,1639300
APEX GLOBAL BRANDS INC,APEX,844161
URBAN TEA INC,MYT,1543268
DESIGNER BRANDS INC,DBI,1319947
CORVEL CORP,CRVL,874866
IMEDIA BRANDS INC,IMBI,870826
MONRO INC,MNRO,876427
BOXLIGHT CORP,BOXL,1624512
ADDVANTAGE TECHNOLOGIES GP,AEY,874292
EZCORP INC  -CL A,EZPW,876523
SEASPINE HOLDINGS CORP,SPNE,1637761
NATIONAL BEVERAGE CORP,FIZZ,69891
MADISON SQUARE GARDEN CO,MSG,1636519
PULMATRIX INC,PULM,1574235
OOMA INC,OOMA,1327688
WORLD ACCEPTANCE CORP/DE,WRLD,108385
SANFILIPPO JOHN B&SON,JBSS,880117
TETRA TECH INC,TTEK,831641
AMERICAN SUPERCONDUCTOR CP,AMSC,880807
QUALCOMM INC,QCOM,804328
ALLIED HEALTHCARE PRODS INC,AHPI,874710
MISONIX INC,MSON,880432
MASTERCRAFT BOAT HLDNGS IN,MCFT,1638290
SYNOPSYS INC,SNPS,883241
LIFEVANTAGE CORP,LFVN,849146
CHRISTOPHER & BANKS CORP,CBKC,883943
CORNERSTNE BULDNG BRNDS INC,CNR,883902
TAILORED BRANDS INC,TLRD,884217
STEIN MART INC,SMRT,884940
HOULIHAN LOKEY INC,HLI,1302215
BUCKLE INC,BKE,885245
KOHL'S CORP,KSS,885639
STERIS PLC,STE,1757898
FRANKLIN COVEY CO,FC,886206
BED BATH & BEYOND INC,BBBY,886158
D R HORTON INC,DHI,882184
JEWETT-CAMERON TRADING CO,JCTCF,885307
FUELCELL ENERGY INC,FCEL,886128
STARBUCKS CORP,SBUX,829224
CENTRAL GARDEN & PET CO,CENTA,887733
PERCEPTRON INC,PRCP,887226
ESCALON MEDICAL CORP,ESMC,862668
CHEESECAKE FACTORY INC,CAKE,887596
PURE STORAGE INC,PSTG,1474432
KEMET CORP,KEM,887730
PATTERSON COS INC,PDCO,891024
AT HOME GROUP INC,HOME,1646228
LAZYDAYS HOLDINGS INC,LAZY,1721741
DULUTH HOLDINGS INC,DLTH,1649744
MIMECAST LTD,MIME,1644675
SCHMITT INDUSTRIES INC/OR,SMIT,922612
RMR GROUP INC,RMR,1644378
SECUREWORKS CORP,SCWX,1468666
VERSUM MATERIALS INC,VSM,1660690
OUTLOOK THERAPEUTICS INC,OTLK,1649989
ATKORE INTL GROUP INC,ATKR,1666138
ZEDGE INC,ZDGE,1667313
ADIENT PLC,ADNT,1670541
VALVOLINE INC,VVV,1674910
SIMPLY GOOD FOODS COMPANY,SMPL,1702744
HARBORONE BANCORP INC,HONE,1769617
RANDOLPH BANCORP INC,RNDB,1667161
YETI HOLDINGS INC,YETI,1670592
AIRGAIN INC,AIRG,1272842
CREE INC,CREE,895419
INTUIT INC,INTU,896878
DESTINATION MATERNITY CORP,DESTQ,896985
SHOE CARNIVAL INC,SCVL,895447
MICROCHIP TECHNOLOGY INC,MCHP,827054
CHICOS FAS INC,CHS,897429
COUPA SOFTWARE INC,COUP,1385867
SANMINA CORP,SANM,897723
JABIL INC,JBL,898293
LIONS GATE ENTERTAINMENT CP,LGF.A,929351
SHILOH INDUSTRIES INC,SHLO,904979
LAMB WESTON HOLDINGS INC,LW,1679273
ARROWHEAD PHARMACEUTICALS,ARWR,879407
META FINANCIAL GROUP INC,CASH,907471
BARNES & NOBLE INC,BKS,890491
VAREX IMAGING CORP,VREX,1681622
DECKERS OUTDOOR CORP,DECK,910521
COSTCO WHOLESALE CORP,COST,909832
RIVERVIEW BANCORP INC,RVSB,1041368
PALATIN TECHNOLOGIES INC,PTN,911216
URBAN OUTFITTERS INC,URBN,912615
SCHNITZER STEEL INDS  -CL A,SCHN,912603
VIAVI SOLUTIONS INC,VIAV,912093
KALVISTA PHARMACEUTICALS,KALV,1348911
WVS FINANCIAL CORP,WVFC,910679
CASA SYSTEMS INC,CASA,1333835
COMMUNITY FST BNCSH INC,CFBI,1691507
PCSB FINANCIAL CORP,PCSB,1691337
ICC HOLDING INC,ICCH,1681903
STEEL CONNECT INC,STCN,914712
INSPIRED ENTERTAINMENT,INSE,1615063
SIGMATRON INTERNATIONAL INC,SGMA,915358
DAKTRONICS INC,DAKT,915779
BEAZER HOMES USA INC,BZH,915840
HV BANCORP INC,HVBC,1594555
WESTROCK CO,WRK,1732845
COPART INC,CPRT,900075
SCANSOURCE INC,SCSC,918965
MOTORCAR PARTS OF AMER INC,MPAA,918251
LIMONEIRA CO,LMNR,1342423
EAGLE MATERIALS INC,EXP,918646
SOUTHERN MISSOURI BANCP INC,SMBC,916907
FLEX LTD,FLEX,866374
MIRAGEN THERAPEUTICS INC,MGEN,1590750
J JILL INC,JILL,1687932
GREENBRIER COS INC (THE),GBX,923120
MATTHEWS INTL CORP  -CL A,MATW,63296
YEXT INC,YEXT,1614178
TESSCO TECHNOLOGIES INC,TESS,927355
OKTA INC,OKTA,1660134
CARVER BANCORP INC,CARV,1016178
ASPEN TECHNOLOGY INC,AZPN,929940
CLOUDERA INC,CLDR,1535379
VERITONE INC,VERI,1615165
ANTERO MIDSTREAM CORP,AM,1623925
ROSEHILL RESOURCES INC,ROSE,1659122
MITCHAM INDUSTRIES INC,MIND,926423
APPIAN CORP,APPN,1441683
MAGNOLIA OIL & GAS CORP,MGY,1698990
BROOKS AUTOMATION INC,BRKS,933974
SMART GLOBAL HOLDINGS INC,SGH,1616533
NINE ENERGY SERVICE INC,NINE,1532286
INTL FCSTONE INC,INTL,913760
STRATTEC SECURITY CORP,STRT,933034
BYLINE BANCORP INC,BY,1702750
DOLLAR TREE INC,DLTR,935703
BLUE APRON HOLDNG INC,APRN,1701114
AMERISOURCEBERGEN CORP,ABC,1140859
MYOMO INC,MYO,1369290
FFBW INC,FFBW,1709017
DARDEN RESTAURANTS INC,DRI,940944
RESMED INC,RMD,943819
CALYXT INC,CLXT,1705843
CHICKEN SOUP FOR SOUL ENTNT,CSSE,1679063
RESTORATION ROBOTIC INC,HAIR,1409269
SWITCH INC,SWCH,1710583
METROPOLITAN BANK HLDNG,MCB,1476034
MONGODB INC,MDB,1441816
BANDWIDTH INC,BAND,1514416
EVOQUA WATER TECH,AQUA,1604643
SENMIAO TECHNOLOGY,AIHS,1711012
MERIDIAN CORP,MRBK,1750735
STITCH FIX INC,SFIX,1576942
LUTHER BURBANK CORP,LBC,1475348
WILLSCOT CORP,WSC,1647088
QUANTERIX CORP,QTRX,1503274
SELECT INTERIOR CONCEPTS INC,SIC,1723866
FARMMI INC,FAMI,1701261
AVAYA HLDGS CORP,AVYA,1418100
EVOLUS INC,EOLS,1570562
CARDLYTICS INC,CDLX,1666071
COLUMBIA FINANCIAL INC,CLBK,1723596
PURPLE INNOVATION INC,PRPL,1643953
BRIDGEWATER BANCSHARES,BWB,1341317
ARCUS BIOSCIENCES INC,RCUS,1724521
RAFAEL HOLDINGS INC,RFL,1713863
LEVEL ONE BANCORP INC,LEVL,1412707
SPRT OF TXS BNCSR INC,STXB,1499453
NLIGHT INC,LASR,1124796
GOOSEHEAD INSURANCE,GSHD,1726978
INSPIRE MEDICAL SYSTEM,INSP,1609550
PLURALSIGHT INC,PS,1725579
EVO PAYMENTS INC,EVOP,1704596
AVALARA INC,AVLR,1348036
EIDOS THERAPEUTICS INC,EIDX,1731831
APTINYX INC,APTX,1674365
XERIS PHARMATICALS INC,XERS,1346302
BLOOM ENERGY CORP,BE,1664703
FORTY SEVEN INC,FTSV,1667633
NEURONETICS INC,STIM,1227636
TILRAY INC,TLRY,1731348
AQUESTIVE THERAPETC INC,AQST,1398733
BIONANO GENOMICS INC,BNGO,1411690
ESTABLISHMNT LBS HLDNG,ESTA,1688757
VACCINEX INC,VCNX,1205922
RA MEDICAL SYSTEMS INC,RMED,1716621
INTERNATIONAL MONEY EXPR INC,IMXI,1683695
MESA AIR GROUP,MESA,810332
ETON PHARMACEUTICALS,ETON,1710340
AMERANT BANCORP INC,AMTB,1734342
PRINCIPIA BIOPHARMA,PRNB,1510487
FALCON MINERALS CORP,FLMN,1703785
EVENTBRITE INC,EB,1475115
UPWORK INC,UPWK,1627475
GUARDANT HEALTH INC,GH,1576280
SI-BONE INC,SIBN,1459839
VERRA MOBILITY CORP,VRRM,1682745
MODERNA INC,MRNA,1682852
ORGANOGENESIS HOLDINGS INC,ORGO,1661181
MYRIAD GENETICS INC,MYGN,899923
RCI HOSPITALITY HLDGS INC,RICK,935419
ASTA FUNDING INC,ASFI,1001258
LAUDER (ESTEE) COS INC -CL A,EL,1001250
WESTELL TECH INC  -CL A,WSTL,1002135
NUANCE COMMUNICATIONS INC,NUAN,1002517
MSC INDUSTRIAL DIRECT  -CL A,MSM,1003078
ASTROTECH CORP,ASTC,1001907
OPEN TEXT CORP,OTEX,1002638
LANDEC CORP,LNDC,1005286
USA TECHNOLOGIES INC,USAT,896429
LIGHTPATH TECHNOLOGIES INC,LPTH,889971
COLUMBUS MCKINNON CORP,CMCO,1005229
FORWARD INDUSTRIES INC,FORD,38264
IDT CORP,IDT,1005731
EVOLUTION PETROLEUM CORP,EPM,1006655
STREAMLINE HEALTH SOLUTIONS,STRM,1008586
FACTSET RESEARCH SYSTEMS INC,FDS,1013237
PROVIDENT FINANCIAL HOLDINGS,PROV,1010470
WILLIS LEASE FINANCE CORP,WLFC,1018164
ABERCROMBIE & FITCH  -CL A,ANF,1018840
BJ'S RESTAURANTS INC,BJRI,1013488
HIBBETT SPORTS INC,HIBB,1017480
STAGE STORES INC,SSI,6885
TRIUMPH GROUP INC,TGI,1021162
UNITED NATURAL FOODS INC,UNFI,1020859
SEACHANGE INTERNATIONAL INC,SEAC,1019671
EPLUS INC,PLUS,1022408
VIASAT INC,VSAT,797721
CAL-MAINE FOODS INC,CALM,16160
VAIL RESORTS INC,MTN,812011
CIENA CORP,CIEN,936395
CARMAX INC,KMX,1170010
TD AMERITRADE HOLDING CORP,AMTD,1173431
TAKE-TWO INTERACTIVE SFTWR,TTWO,946581
EMCORE CORP,EMKR,808326
QORVO INC,QRVO,1604778
MAXIMUS INC,MMS,1032220
SIMULATIONS PLUS INC,SLP,1023459
GRIFFIN INDUSTRIAL REALTY,GRIF,1037390
8X8 INC,EGHT,1023731
AEHR TEST SYSTEMS,AEHR,1040470
PRICESMART INC,PSMT,1041803
NICHOLAS FINANCIAL INC,NICK,1000045
ODYSSEY MARINE EXPLORATION,OMEX,798528
MERITOR INC,MTOR,1113256
PETMED EXPRESS INC,PETS,1040130
CHILDRENS PLACE INC,PLCE,1041859
NET 1 UEPS TECHNOLOGIES INC,UEPS,1041514
CHARLES & COLVARD LTD,CTHR,1015155
GEOSPACE TECHNOLOGIES CORP,GEOS,1001115
BIOANALYTICAL SYSTEMS INC,BASI,720154
TIMBERLAND BANCORP INC,TSBK,1046050
IES HOLDINGS INC,IESC,1048268
MERCURY SYSTEMS INC,MRCY,1049521
SURMODICS INC,SRDX,924717
LOGITECH INTERNATIONAL SA,LOGI,1032975
NORWEGIAN CRUISE LINE HLDGS,NCLH,1513761
APPLIED DNA SCIENCES INC,APDN,744452
FAUQUIER BANKSHARES INC,FBSS,1083643
HOPFED BANCORP INC,HFBC,1041550
NETSOL TECHNOLOGIES INC,NTWK,1039280
SONIC FOUNDRY INC,SOFO,1029744
